name,account_type,account_sub_type,description,current_balance
Accrued Expenses,Liability,Current Liability,"This account tracks expenses incurred by X Software but not yet paid. It's used for expenses like salaries payable, utilities owed, or interest accrued. An increase in accrued expenses increases total liabilities. When X Software pays the expense, Accrued Expenses decreases, and Cash decreases. The starting balance of $5,000 represents the amount of unpaid expenses. Accounting rules require recognizing expenses in the period they are incurred, regardless of when payment is made. This account helps accurately match expenses to revenues. If employee salaries of $9,000 were owed but not paid, this would increase accrued expenses.",5000.0
Taxes Payable,Liability,Current Liability,"This account tracks taxes owed by X Software to government entities. It's used for taxes like income tax, sales tax, or payroll tax. An increase in taxes payable increases total liabilities. When X Software pays the taxes, Taxes Payable decreases, and Cash decreases. The starting balance of $8,000 represents the amount of taxes owed. Accounting rules require accurately calculating and remitting taxes. This account helps track the company's tax obligations. This amount is owed to the government until paid.",8000.0
Long-Term Debt,Liability,Non-Current Liability,"This account tracks loans payable by X Software beyond one year. It's used when the company borrows money from a bank or other lender for a long period. An increase in long-term debt increases total liabilities. When X Software repays the loan, Long-Term Debt decreases, and Cash decreases. The starting balance of $40,000 represents the amount of long-term debt outstanding. Accounting rules require recognizing interest expense on the loan and classifying the portion due within one year as a current liability. This account helps track the company's long-term borrowing and related interest payments.",40000.0
Lease Obligations,Liability,Non-Current Liability,"This account tracks obligations by X Software for leased assets beyond one year. It's used when the company leases assets. An increase in lease obligations increases total liabilities. When X Software makes payments, Lease Obligations decreases, and Cash decreases. The starting balance of $10,000 represents the amount owed. Accounting rules require recognizing expenses on the lease. This account helps track the company's lease obligations.",10000.0
Other Liabilities,Liability,Other Liability,"This account tracks other liabilities owed by X Software that don't fit into other liability categories. It's used for items like deferred revenue or customer deposits. An increase in other liabilities increases total liabilities. The specific nature of this account depends on the liability. The starting balance of $3,000 represents the value of these miscellaneous liabilities. Specific accounting rules apply depending on the type of liability. This account provides a catch-all for less common liabilities and helps ensure all liabilities are properly accounted for.",3000.0
Common Stock,Equity,Contributed Capital,This account represents the par value of common stock issued by X Software. It's used when the company issues stock to investors. An increase in common stock increases total equity. The starting balance of $33 represents the par value of outstanding common stock. Accounting rules require recording stock transactions at par value. This account helps track the capital contributed by common shareholders. It is part of the ownership share.,33.0
Preferred Stock,Equity,Contributed Capital,This account represents the par value of preferred stock issued by X Software. It's used when the company issues preferred stock to investors. An increase in preferred stock increases total equity. The starting balance of $333 represents the par value of outstanding preferred stock. Accounting rules require recording stock transactions at par value. This account helps track the capital contributed by preferred shareholders. It is part of the ownership share.,333.0
Retained Earnings,Equity,Retained Earnings,"This account represents the accumulated profits of X Software that have not been distributed to shareholders as dividends. It's increased by net income and decreased by net losses and dividends. An increase in retained earnings increases total equity. The starting balance of $3,333 represents the cumulative profits retained by the company. Accounting rules require closing net income to retained earnings each period. This account helps track the company's accumulated profits and its ability to fund future growth.",3333.0
Additional Paid-In Capital,Equity,Contributed Capital,"This account represents the amount received from the sale of stock in excess of its par value by X Software. It's used when the company issues stock to investors. An increase in additional paid-in capital increases total equity. The starting balance of $3,333 represents the amount of capital received. Accounting rules require recording stock transactions. This account helps track the capital contributed.",3333.0
Treasury Stock,Equity,Contra-Equity,This account represents shares of X Software's own stock that the company has repurchased. It's used when the company buys back its own stock. An increase in treasury stock decreases total equity. The starting balance of $455 represents the cost of shares repurchased. Accounting rules require recording treasury stock at cost. This account helps track the company's repurchased shares and their impact on equity.,455.0
Software Development Revenue,Income,Service Revenue,"This account tracks revenue earned by X Software from providing sprint-based software development services to clients like Loo, Poo, Moo, Noo, and Roo. It's used when the company completes development sprints and invoices clients. An increase in software development revenue increases net income. The starting balance is $0.0, indicating no revenue has been recognized yet in the reporting period. Revenue recognition principles require recognizing revenue when it's earned, typically upon completion of a deliverable. This account helps track the core revenue stream from software services and its contribution to profitability.",0.0
Consultation Revenue,Income,Service Revenue,"This account tracks revenue earned by X Software from providing consultation services. It's used when the company provides consulting hours and invoices clients. An increase in consultation revenue increases net income. The starting balance is $0.0, indicating no revenue has been recognized yet in the reporting period. Revenue recognition principles require recognizing revenue when it's earned, typically upon completion of the service. This account helps track the revenue stream from consultation services and its contribution to profitability.",0.0
Hardware Chip Sales Revenue,Income,Sales Revenue,"This account tracks revenue earned by X Software from selling hardware chips to customers like Kero and Mena. It's used when the company ships chips and invoices customers. An increase in chip sales revenue increases net income. The starting balance is $0.0, indicating no revenue has been recognized yet in the reporting period. Revenue recognition principles require recognizing revenue when the title and risk of ownership transfers to the customer. This account helps track the revenue stream from hardware sales and its contribution to profitability.",0.0
Employee Salaries Expense,Expense,Operating Expense,"This account tracks the cost of employee salaries for X Software. It's used when the company pays employees. An increase in employee salaries expense decreases net income. The starting balance is $0.0, indicating no salaries expense has been recognized yet in the reporting period. Accrual accounting requires recognizing salaries expense when the work is performed, regardless of when payment is made. This account helps track the largest operating expense and its impact on profitability. Includes amounts paid to employees for software development, consultation, hardware services, and administrative work.",0.0
Office Supplies Expense,Expense,Operating Expense,"This account tracks the cost of office supplies, specifically coffee purchased from Amazon, for X Software. It's used when the company purchases these items. An increase in office supplies expense decreases net income. The starting balance is $0.0, indicating no office supplies expense has been recognized yet in the reporting period. Accrual accounting requires recognizing the expense when the supplies are used. This account helps track a minor operating expense. This account demonstrates minor spending on coffee for the X Software company.",0.0
Computer Equipment Expense,Expense,Operating Expense,"This account tracks the cost of computer equipment, specifically laptops purchased from Dell for developers, for X Software. While the actual laptops would go to PP&E and be depreciated, this expense account is used to track smaller equipment purchases below the capitalization threshold. An increase in computer equipment expense decreases net income. The starting balance is $0.0, indicating no computer equipment expense has been recognized yet in the reporting period. Accrual accounting requires recognizing the expense when the equipment is placed in service. This account helps track operating expense. Includes new laptops that are expensed.",0.0
Cost of Goods Sold,Expense,Cost of Sales,"This account tracks the direct cost of purchasing chips from Ram Electronics that are sold by X Software. It's used when the company sells hardware chips. An increase in cost of goods sold decreases gross profit and net income. The starting balance is $0.0, indicating no cost of goods sold expense has been recognized yet in the reporting period. Inventory accounting methods (e.g., FIFO, Weighted Average) determine the cost of goods sold. This account is critical for calculating gross profit and assessing profitability of hardware sales.",0.0
Training Expense,Expense,Operating Expense,"This account tracks the cost of employee training, specifically course purchases from Udemy, for X Software. It's used when the company purchases training courses. An increase in training expense decreases net income. The starting balance is $0.0, indicating no training expense has been recognized yet in the reporting period. Accrual accounting requires recognizing the expense when the training is received. This account helps track investment in employee development. Includes costs for online courses for employees.",0.0
Cloud Services Expense,Expense,Operating Expense,"This account tracks the cost of cloud services, specifically Google Cloud, for X Software. It's used when the company receives and pays for cloud services. An increase in cloud services expense decreases net income. The starting balance is $0.0, indicating no cloud services expense has been recognized yet in the reporting period. Accrual accounting requires recognizing the expense when the services are used. This account helps track the cost of infrastructure and platform services. Google Cloud is a critical platform for software development.",0.0
Subscription Expense,Expense,Operating Expense,"This account tracks the cost of subscription services, specifically subscriptions for ChatGPT, for X Software. It's used when the company receives and pays for subscription services. An increase in subscription expense decreases net income. The starting balance is $0.0, indicating no subscription expense has been recognized yet in the reporting period. Accrual accounting requires recognizing the expense when the services are used. This account helps track the cost of essential business tools and productivity platforms. Includes subscription expense for ChatGPT.",0.0
